,claim,combined_evidence,label,top_sentences
0,Selena recorded music.,"['-LRB- 1993 -RRB- won Best Mexican/American Album at the 1994 Grammy Awards ', 'becoming the first recording by a Tejano artist to do so .', 'In 1994 ', 'Selena released Amor Prohibido ', 'which became one of the best-selling Latin albums in the United States .', ""Billboard magazine named her the `` top Latin artist of the '90s '' and the `` best selling Latin artist of the decade '' .""]",SUPPORTS,"['Selena released Amor Prohibido ', '-LRB- 1993 -RRB- won Best Mexican/American Album at the 1994 Grammy Awards ', 'In 1994 ']"
1,There is a movie called The Hunger Games.,"['The Hunger Games is a 2012 American dystopian science fiction adventure film directed by Gary Ross and based on the novel of the same name by Suzanne Collins .', 'The film was released on March 21 ', '2012 ', 'in some European countries and in the US on March 23 ', '2012 ', 'in both conventional theaters and digital IMAX theaters .', 'It is the first installment in The Hunger Games film series and was produced by Nina Jacobson and Jon Kilik ', 'with a screenplay by Ross ', 'Collins ', 'and Billy Ray .']",SUPPORTS,"['with a screenplay by Ross ', 'The film was released on March 21 ', 'in some European countries and in the US on March 23 ']"
2,Roman Atwood is a content creator.,"['He is best known for his vlogs ', 'where he posts updates about his life on a daily basis .', ""He also has another YouTube channel called `` RomanAtwood '' "", 'where he posts pranks .']",SUPPORTS,"['He is best known for his vlogs ', ""He also has another YouTube channel called `` RomanAtwood '' "", 'where he posts updates about his life on a daily basis .']"
3,The Ten Commandments is an epic film.,"['The film was listed as the tenth best film in the epic genre .', 'The Ten Commandments is a 1956 American biblical epic film produced ', 'directed ', 'and narrated by Cecil B. DeMille ', 'shot in VistaVision -LRB- color by Technicolor -RRB- ', 'and released by Paramount Pictures .']",SUPPORTS,"['The film was listed as the tenth best film in the epic genre .', 'and released by Paramount Pictures .', 'and narrated by Cecil B. DeMille ']"
4,The Boston Celtics play their home games at TD Garden.,"['The Celtics play their home games at the TD Garden ', ""which they share with the National Hockey League -LRB- NHL -RRB- 's Boston Bruins .""]",SUPPORTS,"['The Celtics play their home games at the TD Garden ', ""which they share with the National Hockey League -LRB- NHL -RRB- 's Boston Bruins .""]"
5,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,"['Homeland is an American spy thriller television series developed by Howard Gordon and Alex Gansa based on the Israeli series Prisoners of War -LRB- Original title חטופים Hatufim ', ""literally `` Abductees '' -RRB- "", ""which was created by Gideon Raff . Prisoners of War -LRB- original title in -RRB- is an Israeli television drama series made by Keshet and originally aired on Israel 's Channel 2 from March to May 2010 .""]",SUPPORTS,"['Homeland is an American spy thriller television series developed by Howard Gordon and Alex Gansa based on the Israeli series Prisoners of War -LRB- Original title חטופים Hatufim ', ""which was created by Gideon Raff . Prisoners of War -LRB- original title in -RRB- is an Israeli television drama series made by Keshet and originally aired on Israel 's Channel 2 from March to May 2010 ."", ""literally `` Abductees '' -RRB- ""]"
6,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,"[""Her debut solo album She 's So Unusual -LRB- 1983 -RRB- was the first debut female album to chart four top-five hits on the Billboard Hot 100 -- `` Girls Just Want to Have Fun '' "", ""`` Time After Time '' "", ""`` She Bop '' "", ""and `` All Through the Night '' -- and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985 .""]",SUPPORTS,"[""and `` All Through the Night '' -- and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985 ."", ""`` Time After Time '' "", ""`` She Bop '' ""]"
7,Tetris has sold millions of physical copies.,"['In January 2010 ', 'it was announced that the Tetris franchise had sold more than 170 million copies ', 'approximately 70 million physical copies and over 100 million copies for cell phones ', 'making it the best selling paid-downloaded game of all time .']",SUPPORTS,"['it was announced that the Tetris franchise had sold more than 170 million copies ', 'approximately 70 million physical copies and over 100 million copies for cell phones ', 'In January 2010 ']"
8,Ryan Gosling has been to a country in Africa.,"['He is a supporter of PETA ', 'Invisible Children and the Enough Project and has traveled to Chad ', 'Uganda and eastern Congo to raise awareness about conflicts in the regions . Chad -LRB- -LSB- tʃæd -RSB- تشاد ; Tchad -LSB- tʃa -LRB- d -RRB- -RSB- -RRB- ', ""officially the Republic of Chad -LRB- ; `` Republic of the Chad '' -RRB- "", 'is a landlocked country in Central Africa .']",SUPPORTS,"['Invisible Children and the Enough Project and has traveled to Chad ', 'He is a supporter of PETA ', 'is a landlocked country in Central Africa .']"
9,Ryan Seacrest is a person.,"['Seacrest began co-hosting Live with Kelly and Ryan on a permanent basis May 1 ', '2017 .']",SUPPORTS,"['2017 .', 'Seacrest began co-hosting Live with Kelly and Ryan on a permanent basis May 1 ']"
